"","Kingdom","Phylum","Class","Order","Family","Genus","Species","COMMENT.on.genus","primary_lifestyle","Secondary_lifestyle","Comment_on_lifestyle_template","Endophytic_interaction_capability_template","Plant_pathogenic_capacity_template","Decay_substrate_template","Decay_type_template","Aquatic_habitat_template","Animal_biotrophic_capacity_template","Specific_hosts","Growth_form_template","Fruitbody_type_template","Hymenium_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template","primary_photobiont","secondary_photobiont","Decay_type","Fruitbody_type"
"OTU1","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis dimorpha","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","mold","non-aquatic","","","filamentous_mycelium","none","none","","","","","mold","none"
"OTU2","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium oxysporum","","plant_pathogen","litter_saprotroph","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil,animal_material","soft_rot","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","","","","","","","soft_rot",""
"OTU3","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU4","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma podzolica","","soil_saprotroph","","","","","soil","","partly_aquatic","","","yeast","none","none","","","","","","none"
"OTU5","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","","","animal_parasite","animal_decomposer","","","","animal_material","","partly_aquatic","animal_parasite/opportunistic_human_parasite","","yeast","none","none","","","","","","none"
"OTU6","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","contact","/russula-lactarius","","","","agaricoid"
"OTU7","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus neoformans","","unspecified_saprotroph","foliar_endophyte","hypervariable","foliar_endophyte","","leaf/fruit/seed,soil,dung,animal_material","","partly_aquatic","animal-associated/opportunistic_human_parasite","","yeast","","","","","","","",""
"OTU8","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Clavulinaceae","Clavulina","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","clavarioid","smooth","contact","/clavulina","","","","clavarioid"
"OTU9","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma phenolica","","soil_saprotroph","epiphyte","","","","soil","","partly_aquatic","","","yeast","none","none","","","","","","none"
"OTU10","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella humilis","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","chitinolytic","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","none","none","","","","","chitinolytic","none"
